Latitude,Longitude,FloodPlain,Mortgage_Date,Mortgage_Maturity,HomeValue,OwnerIncomeToday
37.467812,-122.151691,No,2018,20,583903.103537087,108068.801706045
37.46773,-122.151551,No,2006,30,680449.21875,94070.6763888889
37.46765,-122.151415,No,2008,30,377565.570382205,99015.3122808321
37.467579,-122.151294,No,2010,30,334910.850965642,57324.0181421286
37.467517,-122.151188,No,2013,30,347498.840987821,61511.075176964
37.467445,-122.151066,No,2013,30,347498.840987821,81394.4063496696
37.467386,-122.150965,No,2012,30,222849.699727771,46972.517961165
37.467293,-122.150883,No,2012,30,162090.140264026,27101.4714521452
37.467986,-122.151987,No,2013,10,347498.840987821,89329.5932725782
37.469459,-122.151601,No,2012,30,162090.140264026,25326.304950495
37.469323,-122.151632,No,2005,30,662367.799984511,93875.2186379928
37.469186,-122.151663,No,2005,30,662367.905838942,116181.335842293
37.469051,-122.151694,No,2012,30,214668.119487519,36454.0494490358
37.468949,-122.151718,No,2013,30,347498.840987821,39606.1440523358
37.468847,-122.151741,No,2006,30,680449.21875,139689.336111111
37.468746,-122.151764,No,2011,30,325353.035536183,44556.536994474
37.468645,-122.151787,No,2012,30,214668.121712184,35315.6768595041
37.46851,-122.151818,No,2014,30,408895.680555687,40839.6255744796
37.468357,-122.151807,No,2017,30,576220.269663838,97198.5485476501
37.468611,-122.152211,No,2007,30,583192.804641606,129491.080758933
37.468777,-122.15221,No,2012,30,222847.893316768,33992.92342233
37.468877,-122.152187,No,2011,30,325353.272287489,41199.8140384726
37.468979,-122.152164,No,1988,30,242796.449704142,23915.4502958579
37.469116,-122.152132,No,2016,31,546157.976642348,66393.6168111763
37.469251,-122.152101,No,2014,30,408934.802911061,73322.4656579481
37.469387,-122.15207,No,2019,15,617389.803525817,127314.78660862
37.469579,-122.152007,No,2018,30,583903.103572262,129306.603001907
37.469823,-122.152107,No,2006,30,680449.21875,118937.819097222
37.469864,-122.151935,No,2008,30,377565.570382205,85764.019312318
37.469886,-122.151765,No,2006,31,680449.21875,136308.931597222
37.469909,-122.151588,Yes,2005,30,662367.958766157,94889.4483870967
37.469931,-122.151413,Yes,1989,30,238976.692288306,63944.549516129
37.469663,-122.150469,No,1998,31,200733.911042944,72523.5412269938
37.469562,-122.150493,No,2012,30,214668.122824517,35748.6316804407
37.46946,-122.150517,No,2018,25,583903.103554675,98057.4353363307
